,DATE,WEATHER,TEMPC,WIND
446,2009-01-15 04,normal,-6.7,9.0
448,2009-01-15 05,snow,-7.2,7.0
453,2009-01-15 06,snow,-8.0,7.0
458,2009-01-15 07,snow,-7.8,11.0
462,2009-01-15 08,snow,-8.3,10.0
463,2009-01-15 09,snow,-8.3,9.0
466,2009-01-15 10,snow,-7.8,0.0
469,2009-01-15 11,normal,-7.8,5.0
471,2009-01-15 12,normal,-7.2,11.0
472,2009-01-15 13,normal,-6.7,6.0
473,2009-01-15 14,normal,-6.1,9.0
474,2009-01-15 15,normal,-6.7,10.0
475,2009-01-15 16,normal,-6.7,9.0
476,2009-01-15 17,normal,-7.2,6.0
477,2009-01-15 18,normal,-7.8,10.0
478,2009-01-15 19,normal,-8.3,10.0
479,2009-01-15 20,normal,-8.9,6.0
480,2009-01-15 21,normal,-9.4,5.0
481,2009-01-15 22,normal,-9.4,7.0
483,2009-01-15 23,normal,,
484,2009-01-16 00,normal,-9.4,3.0
485,2009-01-16 01,normal,-9.4,7.0
486,2009-01-16 02,normal,-10.0,10.0
487,2009-01-16 03,normal,-10.6,11.0
488,2009-01-16 04,normal,-11.1,11.0
489,2009-01-16 05,normal,-11.7,10.0
490,2009-01-16 06,normal,-11.7,8.0
491,2009-01-16 07,normal,-12.2,10.0
492,2009-01-16 08,normal,-11.7,9.0
493,2009-01-16 09,normal,-11.1,9.0
494,2009-01-16 10,normal,-10.0,7.0
495,2009-01-16 11,normal,-9.4,10.0
496,2009-01-16 12,normal,,9.0
497,2009-01-16 13,normal,-8.9,10.0
498,2009-01-16 14,normal,-8.9,11.0
499,2009-01-16 15,normal,-8.9,11.0
500,2009-01-16 16,normal,-9.4,7.0
501,2009-01-16 17,normal,-10.0,8.0
502,2009-01-16 18,normal,-10.6,9.0
503,2009-01-16 19,normal,-10.6,11.0
504,2009-01-16 20,normal,-11.7,8.0
505,2009-01-16 21,normal,-12.2,7.0
506,2009-01-16 22,normal,-12.2,8.0
508,2009-01-16 23,normal,,
509,2009-01-17 00,normal,-12.8,8.0
510,2009-01-17 01,normal,-13.3,7.0
511,2009-01-17 02,normal,-13.3,11.0
512,2009-01-17 03,normal,-13.9,6.0
513,2009-01-17 04,normal,-13.9,7.0
514,2009-01-17 05,normal,-14.4,8.0
515,2009-01-17 06,normal,-13.9,7.0
516,2009-01-17 07,normal,-14.4,7.0
517,2009-01-17 08,normal,-13.9,7.0
518,2009-01-17 09,normal,-12.8,5.0
519,2009-01-17 10,normal,-11.1,5.0
520,2009-01-17 11,normal,-10.0,7.0
521,2009-01-17 12,normal,-8.9,5.0
522,2009-01-17 13,normal,-8.3,6.0
523,2009-01-17 14,normal,-8.3,5.0
524,2009-01-17 15,normal,-7.8,0.0
525,2009-01-17 16,normal,-7.8,5.0
526,2009-01-17 17,normal,-7.8,7.0
527,2009-01-17 18,normal,-7.8,0.0
528,2009-01-17 19,normal,-7.2,5.0
529,2009-01-17 20,normal,-6.7,5.0
530,2009-01-17 21,normal,-6.1,7.0
531,2009-01-17 22,normal,-6.1,6.0
534,2009-01-17 23,normal,,
536,2009-01-18 00,normal,-5.0,7.0
537,2009-01-18 01,normal,-4.4,5.0
538,2009-01-18 02,normal,-3.3,7.0
539,2009-01-18 03,normal,-2.8,6.0
540,2009-01-18 04,normal,-1.7,7.0
541,2009-01-18 05,snow,-3.3,0.0
543,2009-01-18 06,snow,-3.9,3.0
546,2009-01-18 07,snow,-2.8,5.0
549,2009-01-18 08,snow,-2.8,3.0
553,2009-01-18 09,normal,-2.2,3.0
554,2009-01-18 10,normal,-1.7,5.0
555,2009-01-18 11,normal,0.0,6.0
556,2009-01-18 12,normal,0.0,6.0
557,2009-01-18 13,normal,1.1,8.0
558,2009-01-18 14,normal,1.1,3.0
559,2009-01-18 15,normal,0.6,10.0
560,2009-01-18 16,normal,0.0,7.0
564,2009-01-18 17,snow,-0.6,7.0
567,2009-01-18 18,snow,-1.1,8.0
570,2009-01-18 19,snow,-1.1,8.0
573,2009-01-18 20,snow,-0.6,5.0
574,2009-01-18 21,snow,-0.6,3.0
577,2009-01-18 22,snow,-1.7,3.0
580,2009-01-18 23,normal,,
584,2009-01-19 00,fog,-2.2,0.0
585,2009-01-19 01,fog,-2.2,0.0
586,2009-01-19 02,fog,-3.3,0.0
587,2009-01-19 03,fog,-2.8,5.0
588,2009-01-19 04,fog,-2.8,7.0
589,2009-01-19 05,fog,-3.3,6.0
590,2009-01-19 06,normal,-3.3,0.0
591,2009-01-19 07,fog,-2.2,0.0
592,2009-01-19 08,fog,-1.7,0.0
593,2009-01-19 09,normal,-1.1,0.0
594,2009-01-19 10,normal,0.0,5.0
595,2009-01-19 11,normal,-0.6,3.0
596,2009-01-19 12,normal,0.0,0.0
599,2009-01-19 13,snow,-1.0,5.0
601,2009-01-19 14,snow,-0.6,0.0
606,2009-01-19 15,snow,-1.0,0.0
607,2009-01-19 16,snow,-1.1,0.0
613,2009-01-19 17,snow,-1.0,0.0
618,2009-01-19 18,snow,-1.1,3.0
624,2009-01-19 19,fog,-1.1,3.0
625,2009-01-19 20,fog,-1.7,0.0
626,2009-01-19 21,normal,-1.7,6.0
631,2009-01-19 22,normal,-2.8,7.0
634,2009-01-19 23,normal,,
635,2009-01-20 00,normal,-3.9,3.0
636,2009-01-20 01,normal,-4.4,0.0
637,2009-01-20 02,normal,-5.0,6.0
638,2009-01-20 03,normal,-5.6,5.0
639,2009-01-20 04,normal,-5.6,3.0
640,2009-01-20 05,normal,-6.1,6.0
641,2009-01-20 06,normal,-6.7,6.0
642,2009-01-20 07,normal,-6.7,7.0
643,2009-01-20 08,normal,-6.7,0.0
644,2009-01-20 09,normal,-6.1,6.0
645,2009-01-20 10,normal,-4.4,3.0
646,2009-01-20 11,normal,-2.8,8.0
647,2009-01-20 12,normal,-2.8,7.0
648,2009-01-20 13,normal,-2.2,7.0
649,2009-01-20 14,normal,-1.7,11.0
650,2009-01-20 15,normal,-1.7,9.0
651,2009-01-20 16,normal,-2.2,7.0
652,2009-01-20 17,normal,-2.8,6.0
653,2009-01-20 18,normal,-3.3,7.0
654,2009-01-20 19,normal,-4.4,7.0
655,2009-01-20 20,normal,-5.0,10.0
656,2009-01-20 21,normal,-5.0,7.0
657,2009-01-20 22,normal,-6.1,7.0
659,2009-01-20 23,normal,,
660,2009-01-21 00,normal,-6.7,9.0
661,2009-01-21 01,normal,-7.2,5.0
662,2009-01-21 02,normal,-7.8,7.0
663,2009-01-21 03,normal,-7.8,7.0
664,2009-01-21 04,normal,-8.3,8.0
665,2009-01-21 05,normal,-7.8,7.0
666,2009-01-21 06,normal,-7.8,7.0
667,2009-01-21 07,normal,-7.8,8.0
668,2009-01-21 08,normal,-7.8,9.0
669,2009-01-21 09,normal,-7.2,8.0
670,2009-01-21 10,normal,-6.1,10.0
671,2009-01-21 11,normal,-5.0,10.0
672,2009-01-21 12,normal,-4.4,13.0
673,2009-01-21 13,normal,-3.9,13.0
674,2009-01-21 14,normal,-3.3,7.0
675,2009-01-21 15,normal,-3.3,11.0
676,2009-01-21 16,normal,-3.9,8.0
677,2009-01-21 17,normal,-3.3,9.0
678,2009-01-21 18,normal,-5.0,8.0
679,2009-01-21 19,normal,-5.6,10.0
680,2009-01-21 20,normal,-5.0,6.0
681,2009-01-21 21,normal,-5.6,9.0
682,2009-01-21 22,normal,-5.6,5.0
684,2009-01-21 23,normal,,
685,2009-01-22 00,normal,-6.1,6.0
686,2009-01-22 01,normal,-5.6,8.0
687,2009-01-22 02,normal,-5.6,7.0
688,2009-01-22 03,normal,-6.1,7.0
689,2009-01-22 04,normal,-6.1,5.0
690,2009-01-22 05,normal,-6.1,7.0
691,2009-01-22 06,normal,-6.1,9.0
692,2009-01-22 07,normal,-6.1,6.0
693,2009-01-22 08,normal,-4.4,8.0
694,2009-01-22 09,normal,-3.9,8.0
695,2009-01-22 10,normal,-1.7,8.0
696,2009-01-22 11,normal,0.0,10.0
697,2009-01-22 12,normal,0.6,11.0
698,2009-01-22 13,normal,1.1,8.0
699,2009-01-22 14,normal,1.7,8.0
700,2009-01-22 15,normal,2.2,9.0
701,2009-01-22 16,normal,2.2,8.0
702,2009-01-22 17,normal,1.7,0.0
703,2009-01-22 18,normal,2.2,0.0
704,2009-01-22 19,normal,2.8,7.0
705,2009-01-22 20,normal,2.8,6.0
706,2009-01-22 21,normal,2.2,5.0
707,2009-01-22 22,normal,2.2,5.0
709,2009-01-22 23,normal,,
710,2009-01-23 00,normal,1.1,8.0
711,2009-01-23 01,normal,0.6,5.0
712,2009-01-23 02,normal,0.6,6.0
713,2009-01-23 03,normal,1.1,3.0
714,2009-01-23 04,normal,0.6,5.0
715,2009-01-23 05,normal,0.0,3.0
716,2009-01-23 06,normal,-0.6,0.0
717,2009-01-23 07,normal,0.0,0.0
718,2009-01-23 08,normal,1.7,0.0
719,2009-01-23 09,normal,3.3,0.0
720,2009-01-23 10,normal,5.0,8.0
721,2009-01-23 11,normal,6.7,6.0
722,2009-01-23 12,normal,7.8,8.0
723,2009-01-23 13,normal,7.2,6.0
724,2009-01-23 14,normal,6.7,8.0
725,2009-01-23 15,normal,6.7,8.0
726,2009-01-23 16,normal,5.6,7.0
727,2009-01-23 17,normal,5.6,0.0
728,2009-01-23 18,normal,5.6,0.0
729,2009-01-23 19,normal,7.2,9.0
730,2009-01-23 20,normal,7.2,10.0
731,2009-01-23 21,normal,7.2,7.0
732,2009-01-23 22,normal,7.2,8.0
734,2009-01-23 23,normal,,
735,2009-01-24 00,normal,6.1,6.0
736,2009-01-24 01,normal,7.2,8.0
737,2009-01-24 02,normal,7.8,5.0
738,2009-01-24 03,normal,7.2,10.0
739,2009-01-24 04,normal,6.1,9.0
740,2009-01-24 05,normal,4.4,8.0
741,2009-01-24 06,normal,3.3,11.0
742,2009-01-24 07,normal,2.8,13.0
743,2009-01-24 08,normal,1.7,13.0
744,2009-01-24 09,normal,1.7,10.0
745,2009-01-24 10,normal,1.1,18.0
746,2009-01-24 11,normal,0.0,10.0
747,2009-01-24 12,normal,-0.6,13.0
748,2009-01-24 13,normal,-1.1,13.0
749,2009-01-24 14,normal,-1.1,14.0
750,2009-01-24 15,normal,-1.7,11.0
751,2009-01-24 16,normal,-2.8,15.0
752,2009-01-24 17,normal,-3.9,15.0
753,2009-01-24 18,normal,-4.4,14.0
754,2009-01-24 19,normal,-5.6,13.0
755,2009-01-24 20,normal,-6.1,11.0
756,2009-01-24 21,normal,-7.2,13.0
757,2009-01-24 22,normal,-7.8,10.0
759,2009-01-24 23,normal,,
760,2009-01-25 00,normal,-8.9,7.0
761,2009-01-25 01,normal,-8.9,7.0
762,2009-01-25 02,normal,-9.4,8.0
763,2009-01-25 03,normal,-10.0,5.0
764,2009-01-25 04,normal,-10.0,9.0
765,2009-01-25 05,normal,-10.0,6.0
766,2009-01-25 06,normal,-10.0,5.0
767,2009-01-25 07,normal,-9.4,0.0
768,2009-01-25 08,normal,-8.3,0.0
769,2009-01-25 09,normal,-7.8,5.0
770,2009-01-25 10,normal,-6.7,8.0
771,2009-01-25 11,normal,-5.0,7.0
772,2009-01-25 12,normal,-5.0,6.0
773,2009-01-25 13,normal,-3.3,9.0
